open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710938460000,34.937,35.000,34.735,34.857,9397.0,1710938519999,327542.1584,1638,4571.1,159337.2913,0
1710938520000,34.856,34.997,34.852,34.886,2494.6,1710938579999,87133.2684,688,1012.6,35372.5309,0
1710938580000,34.886,35.000,34.886,34.972,5020.3,1710938639999,175587.1754,664,3341.5,116872.5406,0
1710938640000,34.970,35.126,34.948,34.960,6509.6,1710938699999,228099.8687,1122,3569.8,125028.2727,0
1710938700000,34.967,34.987,34.875,34.899,4345.0,1710938759999,151770.0907,871,1207.4,42190.0159,0
1710938760000,34.898,34.911,34.718,34.855,4739.9,1710938819999,165055.6590,982,2157.7,75147.1722,0
1710938820000,34.857,35.134,34.848,35.048,4462.8,1710938879999,156336.9295,981,1710.9,59882.6129,0
1710938880000,35.063,35.215,35.063,35.190,2828.3,1710938939999,99450.6577,845,1535.7,53999.4928,0
1710938940000,35.182,35.182,34.928,34.978,10026.7,1710938999999,351712.3799,1473,2842.2,99746.3753,0
1710939000000,34.979,34.987,34.704,34.765,4744.0,1710939059999,165053.0339,1215,1106.7,38528.1191,0
1710939060000,34.759,35.110,34.600,34.754,16838.3,1710939119999,587631.0256,2178,10867.2,379763.8850,0
1710939120000,34.764,34.880,34.710,34.812,12076.9,1710939179999,420068.7331,1648,3604.5,125462.7736,0
1710939180000,34.815,34.940,34.716,34.927,9696.9,1710939239999,337469.2855,1401,3667.5,127778.9004,0
1710939240000,34.919,35.095,34.889,35.094,13108.8,1710939299999,458859.8612,1033,3656.7,128039.5731,0
1710939300000,35.092,35.514,35.090,35.476,8119.4,1710939359999,286462.4035,1603,6142.9,216777.7976,0
1710939360000,35.475,35.475,35.060,35.207,8901.9,1710939419999,313387.9944,2396,4906.9,172691.1877,0
1710939420000,35.206,35.263,35.137,35.150,6204.7,1710939479999,218343.4324,1017,1952.5,68729.8869,0
1710939480000,35.146,35.237,35.098,35.237,2250.9,1710939539999,79090.8093,570,1296.8,45576.7820,0
1710939540000,35.238,35.425,35.179,35.366,5324.9,1710939599999,188027.1695,1299,3055.3,107871.0531,0
1710939600000,35.364,35.438,35.202,35.214,5251.9,1710939659999,185647.7248,1690,2833.5,100181.6197,0
1710939660000,35.217,35.248,35.072,35.132,5926.7,1710939719999,208251.6858,1233,2586.0,90870.2618,0
1710939720000,35.130,35.213,35.085,35.213,2102.4,1710939779999,73866.1487,893,740.5,26018.6056,0
1710939780000,35.211,35.271,35.069,35.238,5422.9,1710939839999,190805.3728,1073,2991.9,105287.3547,0
1710939840000,35.242,35.399,35.225,35.341,5051.2,1710939899999,178419.5783,1036,3164.6,111789.6991,0
1710939900000,35.341,35.369,35.300,35.335,6353.7,1710939959999,224405.7286,827,1121.9,39644.8716,0
1710939960000,35.335,35.454,35.300,35.429,6687.5,1710940019999,236341.7662,1018,3928.2,138779.8338,0
1710940020000,35.434,35.490,35.309,35.316,4259.6,1710940079999,150905.4809,1290,1650.8,58471.8110,0
1710940080000,35.316,35.424,35.255,35.274,4017.6,1710940139999,141925.6255,804,2302.0,81336.7915,0
1710940140000,35.274,35.500,35.274,35.409,8400.0,1710940199999,297284.3203,1435,4039.4,142969.6789,0
1710940200000,35.412,35.500,35.304,35.465,7133.3,1710940259999,252663.0807,1254,3750.1,132820.3784,0
1710940260000,35.466,35.494,35.321,35.353,6351.5,1710940319999,224898.3928,1093,3876.6,137193.3547,0
1710940320000,35.357,35.417,35.298,35.366,4983.4,1710940379999,176230.8868,1561,2522.6,89212.3949,0
1710940380000,35.374,35.398,35.146,35.330,4184.6,1710940439999,147629.7398,1235,2257.6,79643.7012,0
1710940440000,35.330,35.352,35.231,35.244,2941.7,1710940499999,103836.5980,873,839.8,29641.9275,0
1710940500000,35.250,35.258,35.033,35.222,5748.5,1710940559999,202004.6350,1332,1887.7,66368.9656,0
1710940560000,35.221,35.477,35.212,35.265,6164.1,1710940619999,217855.8166,953,3218.1,113680.6532,0
1710940620000,35.265,35.268,34.968,34.978,3223.6,1710940679999,113144.2120,793,873.6,30669.7450,0
1710940680000,34.971,34.972,34.633,34.712,15340.9,1710940739999,533396.5982,2452,4777.4,166197.2434,0
1710940740000,34.715,34.843,34.673,34.740,7336.7,1710940799999,254986.7674,1489,2916.2,101369.4221,0
1710940800000,34.740,34.741,34.572,34.677,5108.5,1710940859999,177051.1672,1212,1871.9,64881.6880,0
1710940860000,34.674,34.693,34.526,34.529,5826.4,1710940919999,201643.3716,1101,3054.0,105674.3171,0
1710940920000,34.524,34.702,34.522,34.702,5433.4,1710940979999,188045.0827,1378,2246.0,77721.5610,0
1710940980000,34.698,34.779,34.580,34.600,4173.2,1710941039999,144784.9451,1172,1444.3,50132.8362,0
1710941040000,34.594,34.671,34.541,34.651,3295.1,1710941099999,114016.3490,865,1877.7,64979.6491,0
1710941100000,34.650,34.753,34.596,34.637,4606.1,1710941159999,159745.6054,1077,2169.6,75237.4694,0
1710941160000,34.634,34.645,34.295,34.345,18723.0,1710941219999,644262.6205,2691,6906.7,237728.3268,0
1710941220000,34.344,34.353,34.210,34.254,4466.7,1710941279999,153113.6728,1371,2181.6,74778.2803,0
1710941280000,34.254,34.254,34.134,34.148,2811.0,1710941339999,96156.8042,890,874.4,29917.8123,0
1710941340000,34.154,34.178,34.044,34.101,5047.4,1710941399999,172188.7004,1111,2320.1,79164.6096,0
1710941400000,34.104,34.262,34.093,34.232,3513.5,1710941459999,120156.1686,979,2230.0,76279.8136,0
1710941460000,34.233,34.275,34.070,34.162,4875.6,1710941519999,166514.8291,1019,2512.6,85812.9569,0
1710941520000,34.162,34.169,34.035,34.071,4511.8,1710941579999,153903.3292,1132,1590.5,54255.7463,0
1710941580000,34.072,34.169,33.972,34.149,5657.0,1710941639999,192614.8593,1410,2555.5,87068.7118,0
1710941640000,34.148,34.245,34.088,34.108,2763.2,1710941699999,94379.8143,721,1530.7,52298.3425,0
1710941700000,34.106,34.133,34.043,34.078,2730.3,1710941759999,93077.6267,541,1002.2,34173.6494,0
1710941760000,34.075,34.192,34.075,34.141,2920.4,1710941819999,99713.9649,589,2139.0,73035.9541,0
1710941820000,34.149,34.305,34.149,34.294,1886.9,1710941879999,64599.0136,580,1401.6,48001.5862,0
1710941880000,34.296,34.508,34.294,34.435,4611.4,1710941939999,158772.8396,1032,2373.7,81727.4055,0
1710941940000,34.435,34.455,34.105,34.121,2338.0,1710941999999,79962.7618,811,689.0,23589.0198,0
1710942000000,34.117,34.199,34.020,34.143,4588.7,1710942059999,156551.3869,1358,3227.7,110148.3909,0
1710942060000,34.137,34.374,34.135,34.263,4269.8,1710942119999,146420.8554,1179,2669.5,91557.6269,0
1710942120000,34.257,34.395,34.206,34.395,2106.9,1710942179999,72261.1983,701,880.1,30178.9491,0
1710942180000,34.396,34.446,34.148,34.167,3335.3,1710942239999,114369.3216,897,782.5,26828.7159,0
1710942240000,34.156,34.173,34.039,34.083,1311.2,1710942299999,44720.9172,487,636.0,21698.7274,0
1710942300000,34.077,34.305,34.046,34.223,1908.3,1710942359999,65186.5122,691,1314.0,44893.5197,0
1710942360000,34.222,34.254,34.049,34.065,2901.5,1710942419999,99001.0147,599,1820.5,62106.0520,0
1710942420000,34.065,34.138,33.941,34.018,2910.2,1710942479999,98980.9292,763,1263.4,42997.5456,0
1710942480000,34.013,34.045,33.929,33.975,1805.1,1710942539999,61349.2565,494,1009.0,34296.3833,0
1710942540000,33.983,34.070,33.911,33.984,2378.7,1710942599999,80847.3163,712,1085.9,36920.9439,0
1710942600000,33.989,34.003,33.882,33.909,2372.2,1710942659999,80486.4517,769,752.2,25528.2959,0
1710942660000,33.909,33.975,33.869,33.870,2344.9,1710942719999,79516.5427,623,1535.1,52051.5894,0
1710942720000,33.872,33.972,33.856,33.878,1055.7,1710942779999,35802.2908,363,624.2,21168.1921,0
1710942780000,33.877,33.931,33.860,33.880,1425.8,1710942839999,48323.5895,452,866.6,29373.5361,0
1710942840000,33.878,33.968,33.626,33.650,6354.7,1710942899999,214496.8294,1296,1662.7,56151.4034,0
1710942900000,33.646,33.680,33.547,33.581,6874.8,1710942959999,231026.1223,1619,3574.6,120133.1810,0
1710942960000,33.580,33.686,33.557,33.685,5065.7,1710943019999,170210.6568,1091,3490.7,117294.9387,0
1710943020000,33.688,33.729,33.613,33.706,2937.3,1710943079999,98880.0977,677,914.1,30783.7086,0
1710943080000,33.696,33.890,33.666,33.878,2839.1,1710943139999,95904.0281,728,2279.6,76988.3620,0
1710943140000,33.878,33.887,33.824,33.847,1079.0,1710943199999,36530.8583,335,645.7,21862.6475,0
1710943200000,33.849,33.899,33.763,33.810,2623.0,1710943259999,88756.1871,726,1534.8,51929.3783,0
1710943260000,33.814,33.820,33.721,33.752,2927.8,1710943319999,98864.9692,615,1309.8,44228.9532,0
1710943320000,33.749,33.830,33.701,33.810,2790.5,1710943379999,94241.5015,746,1535.9,51842.7959,0
1710943380000,33.817,33.848,33.736,33.783,2244.0,1710943439999,75830.8959,542,746.5,25225.9789,0
1710943440000,33.784,33.913,33.774,33.888,1468.9,1710943499999,49733.3990,452,1132.6,38347.7730,0
1710943500000,33.889,34.045,33.885,34.031,1981.7,1710943559999,67307.3190,484,1575.4,53508.4669,0
1710943560000,34.033,34.033,33.719,33.735,2821.8,1710943619999,95527.1147,792,1341.9,45416.0113,0
1710943620000,33.736,33.909,33.671,33.878,3645.1,1710943679999,123127.3142,819,2589.7,87481.7840,0
1710943680000,33.887,33.959,33.865,33.889,1141.4,1710943739999,38694.5209,369,651.0,22066.5641,0
1710943740000,33.888,34.147,33.855,34.147,2689.8,1710943799999,91455.0468,689,2106.2,71608.7000,0
1710943800000,34.140,34.297,34.119,34.288,2845.0,1710943859999,97327.5934,776,1709.1,58461.8151,0
1710943860000,34.291,34.300,34.027,34.027,4145.7,1710943919999,141753.7864,853,1922.4,65706.7761,0
1710943920000,34.035,34.071,34.018,34.040,1777.9,1710943979999,60519.3122,377,926.8,31552.1076,0
1710943980000,34.049,34.171,34.028,34.094,883.7,1710944039999,30139.0029,233,426.3,14534.5034,0
1710944040000,34.093,34.124,34.034,34.115,634.4,1710944099999,21621.5543,263,445.6,15187.6981,0
1710944100000,34.118,34.373,34.118,34.351,2882.0,1710944159999,98874.4662,635,2097.0,71942.6859,0
1710944160000,34.354,34.398,34.281,34.398,3191.0,1710944219999,109586.3289,736,1770.7,60805.1323,0
1710944220000,34.398,34.536,34.312,34.354,7833.6,1710944279999,269856.9138,1028,4642.0,159949.6077,0
1710944280000,34.358,34.367,34.297,34.303,1369.0,1710944339999,46992.4752,484,692.1,23763.3860,0
